AchievementSwitchChecker (AchievementSwitchChecker)
TouchRotateShelfBook (TouchRotateParts)
TouchRotateShelfStepA (FixMapParts)
TouchRotateWallStepA (FixMapParts)
TrampleSwitch (TrampleSwitch)
TrampleSwitchTogetherWatcher (TrampleSwitchTogetherWatcher)
TransparentWall (TransparentWall)
TransparentWallPlayerOnly (TransparentWall)
Tree (Tree)
TrickArt1StepA (FixMapParts)
TrickArt2Cloud (FixMapParts)
TrickArt2StepA (FixMapParts)
TrickArt2Water (FixMapParts)
TriggerAnimationPart (TriggerAnimationPart)
Truck (Truck)
TruckCaveStepB (FixMapParts)
TruckCaveStepD (FixMapParts)
TruckCaveWater (FixMapParts)
TruckMountainGoal (FixMapParts)
TruckMountainStep (FixMapParts)
TruckMountainSteplow (FixMapParts)
TruckRail (BlockRail)
TruckTempleStepA (FixMapParts)
TruckTempleStepC (FixMapParts)
TruckTempleStepD (FixMapParts)
TruckTempleStepE (FixMapParts)
Tuccondor (Tuccondor)
TuccondorTrap (TuccondorTrap)
TwoSidePushPullStep (FixMapParts)
TwoSidePushPullTouchPartsA (AssistSlideMapParts)
TwoSidePushPullTouchPartsB (AssistSlideMapParts)
TwoSidePushPullTouchPartsC (AssistSlideMapParts)
Ukibo (Ukibo)
UkiboWaterParkBridge (KeyMoveMapParts)
UkiboWaterParkFence (KeyMoveMapParts)
UkiboWaterParkGrass (FixMapParts)
UkiboWaterParkPedestral (KeyMoveMapParts)
UkiboWaterParkStep (VisibleSwitchMapParts)
UkiboWaterParkWater (KeyMoveMapParts)
UkiboWaterParkZMask (FixMapParts)
ViewCtrlArea (ViewCtrlArea)
WarpCube (WarpCube)
WarpCubeLockedPiece (WarpCubeLockedPiece)
WarpDoor (WarpDoor)
WatchYourStepStep (FixMapParts)
WatchYourStepWall (VisibleSwitchMapParts)
WaterArea (Area)
WaterCageFallParts (KeyMoveMapParts)
WaterCageRisePartsA (GateMapParts)
WaterCageRisePartsB (GateMapParts)
WaterCageStepA (FixMapParts)
WaterCageWater (FixMapParts)
WaterfallWorldCaveOutsideA (FixMapParts)
WaterfallWorldFallRockLong (GateMapParts)
WaterfallWorldFossilAreaStepA (FixMapParts)
WaterfallWorldFossilAreaStepApt2 (FixMapParts)
WaterfallWorldFossilAreaStepB (FixMapParts)
WaterfallWorldFossilAreaWaterfallB (FixMapParts)
WaterfallWorldGoalStepA (FixMapParts)
WaterfallWorldRockLongAreaStepA (FixMapParts)
WaterfallWorldRockLongAreaWaterA (FixMapParts)
WaterfallWorldStartStepA (FixMapParts)
WaterfallWorldStartStepASemiTransparent (FixMapParts)
WaterfallWorldValleyAreaStepA (FixMapParts)
WaterfallWorldValleyAreaWaterfallA (FixMapParts)
WheelCageBackHidePartsA (BackHideMapParts)
WheelCageBackHidePartsB (BackHideMapParts)
WheelCageBackHidePartsC (BackHideMapParts)
WheelCageBackHidePartsD (BackHideMapParts)
WheelCageKeyTuccondorBar (KeyMoveMapParts)
WheelCageStep (FixMapParts)
WheelCageWheelA (WheelMapParts)
WheelCageWheelB (WheelMapParts)
WheelMapPartsRotateWatcher (WheelMapPartsRotateWatcher)
WheelPlanetStepA (FixMapParts)
WindBoxWatcher (WindBoxWatcher)
WoodBox (WoodBox)
Zombie (Zombie)
ZombiePoint (ZombiePoint)
ZoomInvalidArea (ZoomInvalidArea)
